idDrink,strDrink,strCategory,strDrinkThumb,strInstructions,strIngredients
1,Black Coffee,Coffee,https://images.unsplash.com/photo-1494314671902-399b18174975?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Black coffee is as simple as it gets with ground coffee beans soaked in hot water, served hot. And if you want to sound fancy, you can properly call it black coffee name: cafe noir.",Coffee
2,Latte,Coffee,https://images.unsplash.com/photo-1561882468-9110e03e0f78?auto=format&fit=crop&q=60&w=800&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGxhdHRlfGVufDB8fDB8fHww,"As the most popular coffee drink out there, latte consists of a shot of espresso and steamed milk with just a dash of foam. It can be ordered unflavored or flavored with anything from vanilla to pumpkin spice.","Espresso,Steamed milk"
3,Caramel Latte,Coffee,https://images.unsplash.com/photo-1599398054066-846f28917f38?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Caramel latte can be the best option to give you an experience of the natural sweetness and creaminess of steamed milk and caramel.,"Espresso,Steamed milk,Caramel syrup"
4,Cappuccino,Coffee,https://images.unsplash.com/photo-1557006021-b85faa2bc5e2?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"Cappuccino is a latte made with more foam than steamed milk, often with a sprinkle of cocoa powder or cinnamon on top.","Espresso,Steamed milk,Foam"
5,Americano,Coffee,https://images.unsplash.com/photo-1532004491497-ba35c367d634?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"With a similar taste to black coffee, americano consists of an espresso shot diluted with hot water.","Espresso,Hot water"
6,Espresso,Coffee,https://images.unsplash.com/photo-1579992357154-faf4bde95b3d?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,"An espresso shot can be served alone or used as a base for most coffee drinks, like latte and macchiato.",Espresso
7,Macchiato,Coffee,https://images.unsplash.com/photo-1557772611-722dabe20327?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Macchiato is another espresso-based drink that has a small amount of foam on top.,"Espresso,Foam"
8,Mocha,Coffee,https://images.unsplash.com/photo-1607260550778-aa9d29444ce1?auto=format&fit=crop&q=80&w=1887&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,Mocha is a chocolate espresso drink with steamed milk and foam.,"Espresso,Steamed milk,Chocolate"
9,Hot Chocolate,Coffee,https://images.unsplash.com/photo-1542990253-0d0f5be5f0ed?auto=format&fit=crop&q=60&w=800&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDh8fGhvdCUyMGNob2NvbGF0ZXxlbnwwfHwwfHx8MA%3D%3D,"Under cold winter days, a cup of hot chocolate makes you feel comfortable and happy. It also makes you feel good because it contains energizing caffeine.","Chocolate,Milk"
10,Chai Latte,Tea,https://images.unsplash.com/photo-1578899952107-9c390f1af1b7?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGNoYWklMjBsYXR0ZXxlbnwwfHwwfHx8MA%3D%3D,"If you are looking for a tasty hot drink in the middle of winter, choose chai latte. The combination of cardamom and cinnamon gives a wonderful taste.","Tea,Milk,Ginger,Cardamom,Cinnamon"
11,Matcha Latte,Tea,https://images.unsplash.com/photo-1536256263959-770b48d82b0a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8bWF0Y2hhJTIwbGF0dGV8ZW58MHx8MHx8fDA%3D%3D,"Matcha latte is a green, healthy coffee drink with finely crushed matcha tea and milk, offering mild sweetness, a unique flavor and a mild caffeine kick.","Matcha powder,Milk,Sugar"
12,Seasonal Brew,Coffee,https://images.unsplash.com/photo-1611162458324-aae1eb4129a4?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTg1fHxibGFjayUyMGNvZmZlZXxlbnwwfHwwfHx8MA%3D%3D,"Seasonal coffee with different flavors such as caramel, fruit and chocolate.",Coffee
13,Black Tea,Tea,https://images.unsplash.com/photo-1576092768241-dec231879fc3?auto=format&fit=crop&q=60&w=800&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fHRlYXxlbnwwfHwwfHx8MA%3D%3D,"Black tea was born in China. It is made from the leaves of a plant called Camellia and can be flavored differently with fruits for example. A pleasant, warm, tasty and aromatic drink suitable for everyday use.",Tea
